"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","13","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","8","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","76","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","117","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","76","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","13","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","33","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","19","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","13","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","13","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","47","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","0","19","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","0","19","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","40","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","45","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","31","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","8","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","52","1","0.000000","0","0"
"/Game/CartoonWaterShader/Materials/Particles/M_Firefly.M_Firefly","0","0","31","1","0.000000","0","0"
"/Game/Blueprints/Blueprints_Custom/Cartoon_rock.Cartoon_rock","0","0","19","1","0.000000","0","0"
"/Game/Assests/Weapons/Material_005.Material_005","0","0","19","1","0.000000","0","0"
"/Game/Assests/Weapons/Material_004.Material_004","0","0","19","1","0.000000","0","0"
"/Game/Assests/Weapons/Material_003.Material_003","0","0","19","1","0.000000","0","0"
"/Game/Assests/Weapons/Material_002.Material_002","0","0","19","1","0.000000","0","0"
"/Game/Assests/Weapons/Material_001.Material_001","0","0","19","1","0.000000","0","0"
"/Game/Assests/Weapons/Material.Material","0","0","19","1","0.000000","0","0"
"/Game/Assests/Weapons/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/Assests/Tiles/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/Assests/Snow/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/Assests/Rocks/standardSurface2.standardSurface2","0","0","19","1","0.000000","0","0"
"/Game/Assests/Rocks/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/Assests/Grass/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/Assests/Equipment/standardSurface1.standardSurface1","0","0","19","1","0.000000","0","0"
"/Game/Assests/Equipment/Material_001.Material_001","0","0","19","1","0.000000","0","0"
"/Game/Assests/Equipment/lambert2.lambert2","0","0","19","1","0.000000","0","0"
"/Game/Assests/Equipment/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/Assests/Dragon/WingMembrane.WingMembrane","0","0","52","1","0.000000","0","0"
"/Game/Assests/Dragon/Teeth.Teeth","0","0","52","1","0.000000","0","0"
"/Game/Assests/Dragon/Mouth.Mouth","0","0","52","1","0.000000","0","0"
"/Game/Assests/Dragon/Eyes.Eyes","0","0","52","1","0.000000","0","0"
"/Game/Assests/Dragon/Claws.Claws","0","0","52","1","0.000000","0","0"
"/Game/Assests/Dragon/Body.Body","0","0","52","1","0.000000","0","0"
"/Game/Assests/Boat/Material_002.Material_002","0","0","19","1","0.000000","0","0"
"/Game/Assests/Boat/lambert2.lambert2","0","0","19","1","0.000000","0","0"
"/Game/Assests/Boat/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/Assests/Barrel/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/Assests/standardSurface2.standardSurface2","0","0","19","1","0.000000","0","0"
"/Game/Assests/Rock_4.Rock_4","0","0","19","1","0.000000","0","0"
"/Game/Assests/PM3D_Sphere3D_2.PM3D_Sphere3D_2","0","0","19","1","0.000000","0","0"
"/Game/Assests/Material.Material","0","0","19","1","0.000000","0","0"
"/Game/Assests/lambert2.lambert2","0","0","19","1","0.000000","0","0"
